name,youtube,meme,cartoon
papas-jonathan,"https://www.youtube.com/@StuffMadeHere
https://www.youtube.com/@smartereveryday
https://www.youtube.com/@Poofesure","https://knowyourmeme.com/memes/but-you-cant-prove-it-james-doakes-reaction-images
https://knowyourmeme.com/memes/6-7-song-67-meme",
Gerg,"https://www.youtube.com/@veritasium
https://www.youtube.com/@BranchEducation
https://www.youtube.com/@realengineering
https://www.youtube.com/@kurzgesagt
",,"https://www.imdb.com/title/tt0063950/
https://www.imdb.com/title/tt0983983/
https://www.imdb.com/title/tt0112123/
https://www.imdb.com/title/tt0105941/
"
el_psy_congroo,https://www.youtube.com/@PewDiePie,https://knowyourmeme.com/memes/shaq-reading,https://www.imdb.com/title/tt0130417/
Yaz,https://www.youtube.com/@HooviesGarage,https://knowyourmeme.com/memes/sir-gideon-ofnir-the-all-knowing,https://www.imdb.com/title/tt0121955/
Student987,https://www.youtube.com/@htme,,https://www.imdb.com/title/tt6741278/
PotatoChicken,https://www.youtube.com/@thekubzscouts,https://knowyourmeme.com/photos/1228453-cambridge-latin-course,https://www.imdb.com/title/tt0121955/
tricksauce,https://www.youtube.com/@ThePrimeTimeagen,https://knowyourmeme.com/memes/meet-potential-man,https://www.imdb.com/title/tt12343534/
Leo Das,https://www.youtube.com/@VjSiddhuVlog,,https://www.imdb.com/title/tt0259141/
my_life_is_a_sitcom,https://www.youtube.com/@TaylorSwift,https://knowyourmeme.com/memes/joeys-delayed-reaction,"https://www.imdb.com/title/tt1361336/
https://www.imdb.com/title/tt0163929/
https://www.imdb.com/title/tt0756522/
https://www.imdb.com/title/tt0233041/
https://www.imdb.com/title/tt0262153/
https://www.imdb.com/title/tt0108847/"
Big Smoke,https://www.youtube.com/@lakshaychaudhary; https://www.youtube.com/@TylerOliveira; https://www.youtube.com/@Ian77-ClashRoyale; https://www.youtube.com/@KeyAndPeele; https://www.youtube.com/@TaarakMehtaKaOoltahChashmah; https://www.youtube.com/@VikanshuTomar777,"https://knowyourmeme.com/memes/shocked-black-guy; https://knowyourmeme.com/memes/side-eye-dog; https://knowyourmeme.com/memes/awkward-look-monkey-puppet; https://knowyourmeme.com/memes/popeyes-kid-dieunerst-collin; https://knowyourmeme.com/memes/african-kid-crying-with-a-knife; https://knowyourmeme.com/memes/crying-kid-with-gun;
https://knowyourmeme.com/memes/people/ricardo-milos
https://knowyourmeme.com/memes/gigachad","https://www.imdb.com/title/tt0096697/
https://www.imdb.com/title/tt0182576/"
aggie-fan-100,"https://www.youtube.com/@dudeperfect
https://www.youtube.com/@numberphile
https://www.youtube.com/@JomboyMedia
https://www.youtube.com/@3blue1brown
https://www.youtube.com/@michaelmackelvie
https://www.youtube.com/@Computerphile
https://www.youtube.com/@SECShorts
https://www.youtube.com/@palmertrolls
https://www.youtube.com/@AlphaPhoenixChannel
https://www.youtube.com/@standupmaths
https://www.youtube.com/@CaptainDisillusion
https://www.youtube.com/@CaptainDisillusion","https://knowyourmeme.com/memes/left-exit-12-off-ramp
https://knowyourmeme.com/memes/spongebob-burning-paper
https://knowyourmeme.com/memes/surprised-pikachu

","https://www.imdb.com/title/tt1361336/
https://www.imdb.com/title/tt0852863/
https://www.imdb.com/title/tt0206512/
https://www.imdb.com/title/tt2861424/
https://www.imdb.com/title/tt11126994/
https://www.imdb.com/title/tt0417299/
https://www.imdb.com/title/tt6741278/
https://www.imdb.com/title/tt11247158/
https://www.imdb.com/title/tt0988824/"
cloud-sky-2000,https://www.youtube.com/@SaturdayNightLive,,"https://www.imdb.com/title/tt0280277/
https://www.imdb.com/title/tt0852863/
https://www.imdb.com/title/tt1726839/
https://www.imdb.com/title/tt0130417/"
Sandy,https://www.youtube.com/@Sankhokun,,https://www.imdb.com/title/tt1361336/
mechanical-cactus,https://www.youtube.com/@Dokibird,https://knowyourmeme.com/memes/cat-looks-inside,https://www.imdb.com/title/tt0374407/
WINTERISCOMING,"https://www.youtube.com/@chrissmoove
https://www.youtube.com/@veritasium",,"https://www.imdb.com/title/tt1942683/
https://www.imdb.com/title/tt1710308/"
crunch,"https://www.youtube.com/@Channel5YouTube
https://www.youtube.com/@SliggyVAL","https://knowyourmeme.com/memes/but-you-cant-prove-it-james-doakes-reaction-images
https://knowyourmeme.com/memes/bald-jd-vance","https://www.imdb.com/title/tt2098220
https://www.imdb.com/title/tt0434665
https://www.imdb.com/title/tt0417299"
