environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
10000,1.758280873298645,0.089999996,0.18138357,0.20095238,0.30567423,0.08190477,0.12870893,3.5584218502044678,18.608919143676758,46.1,0.37285715,0.08802313001360744,8.055432949258531,0.3423942,0.01537552766867238,20,33.70127487182617
20000,-0.03934319317340851,0.086666666,0.20231989,0.033333335,0.1,0.05,0.14999999,3.2350666522979736,8.65634822845459,50.0,0.17,0.0950048399856314,0.0,0.2359143,5.479980805932572e-05,40,17.391382217407227
30000,0.10674668848514557,0.05,0.14999999,0.025,0.074999996,0.05,0.14999999,3.4203479290008545,5.749819278717041,50.0,0.125,0.0949218000518158,0.0,0.20155644,4.98956397230059e-05,60,11.286145210266113
40000,-0.0607152134180069,0.0,0.0,0.10555556,0.17293759,0.062222224,0.13063946,3.59407114982605,6.322376251220703,50.0,0.16777778,0.09515936002135277,0.0,0.20908089,4.321965751153347e-05,80,12.766182899475098
50000,0.3876029849052429,0.058333337,0.1181454,0.15,0.24094719,0.09166667,0.14166668,3.514880657196045,12.610246658325195,46.1,0.3,0.0901028300402686,11.700000000000001,0.28431204,0.02280310157793329,100,24.445287704467773
60000,-0.39284002780914307,0.10333334,0.17156145,0.0,0.0,0.06857143,0.13950351,3.2240586280822754,3.383892059326172,50.0,0.17190477,0.09638173000421375,0.0,0.18634143,4.947559182444385e-05,120,7.553464412689209
70000,0.015460352413356304,0.116666675,0.18333334,0.05,0.14999999,0.0,0.0,3.6533238887786865,7.759265422821045,48.5,0.16666667,0.09171589999459684,4.5,0.30731815,0.008465557466296621,140,15.48760986328125
80000,-0.37070804834365845,0.083333336,0.17078252,0.025,0.074999996,0.120000005,0.16462079,3.7953288555145264,5.778417587280273,45.7,0.22833332,0.08638410998973996,12.9,0.28587586,0.02446986597144086,160,12.298251152038574
90000,0.5663518309593201,0.07333334,0.1474223,0.0,0.0,0.17833333,0.29926297,3.559561014175415,9.939508438110352,49.5,0.2516667,0.09594683998730033,1.5,0.29178095,0.0031024705234793063,180,18.746313095092773
100000,0.32585451006889343,0.14023809,0.20782442,0.03666667,0.07371115,0.05,0.106718734,3.7244153022766113,6.715895652770996,49.9,0.22690478,0.09591518996749074,0.3,0.28642383,0.0007495035890860761,200,12.780082702636719
110000,-0.0395064577460289,0.11833334,0.15283434,0.078571424,0.12601066,0.0,0.0,3.1786229610443115,2.3439865112304688,50.0,0.19690478,0.09531163000501693,0.0,0.20703623,7.183240758976816e-05,220,4.766985893249512
120000,0.08338940143585205,0.02,0.06,0.10666667,0.22150998,0.033333335,0.1,3.274636745452881,5.433772087097168,48.8,0.16,0.09426173004321754,3.6,0.30724585,0.007124821962301246,240,10.700765609741211
130000,-0.3611563444137573,0.06666667,0.13333336,0.075,0.16007811,0.0,0.0,3.2292611598968506,4.413802623748779,50.0,0.14166668,0.09688464002683758,0.0,0.18276428,2.7974316824862366e-05,260,9.549918174743652
140000,1.1584938764572144,0.16166666,0.19207203,0.10357143,0.16937009,0.08928572,0.15911905,3.6440622806549072,14.411019325256348,43.6,0.3545238,0.08388986999634654,13.712767773137559,0.36153564,0.026566169784317754,280,26.505050659179688
150000,0.6243168711662292,0.13333334,0.17559423,0.12857142,0.1706829,0.05,0.1,3.5504913330078125,9.311382293701172,47.9,0.31190476,0.09274749995674939,4.657252408878007,0.38339248,0.00907209639080294,300,17.374130249023438
160000,0.1197415366768837,0.14333333,0.29890543,0.044999998,0.09069179,0.038333334,0.08098355,3.6759228706359863,7.613422393798828,46.9,0.22666666,0.09056382996495813,9.3,0.28965497,0.01779309835106326,320,14.987361907958984
