List Size = 4096, Threads = 1, error = 0, time (sec) =   0.0005, qsort_time =   0.0003
List Size = 4096, Threads = 2, error = 0, time (sec) =   0.0004, qsort_time =   0.0004
List Size = 4096, Threads = 4, error = 0, time (sec) =   0.0004, qsort_time =   0.0004
List Size = 4096, Threads = 16, error = 0, time (sec) =   0.0008, qsort_time =   0.0004
List Size = 4096, Threads = 64, error = 0, time (sec) =   0.0028, qsort_time =   0.0004
List Size = 4096, Threads = 256, error = 0, time (sec) =   0.0126, qsort_time =   0.0004
List Size = 4096, Threads = 1024, error = 0, time (sec) =   0.0553, qsort_time =   0.0004
List Size = 1048576, Threads = 1, error = 0, time (sec) =   0.1067, qsort_time =   0.1316
List Size = 1048576, Threads = 2, error = 0, time (sec) =   0.0565, qsort_time =   0.1320
List Size = 1048576, Threads = 4, error = 0, time (sec) =   0.0343, qsort_time =   0.1309
List Size = 1048576, Threads = 16, error = 0, time (sec) =   0.0181, qsort_time =   0.1317
List Size = 1048576, Threads = 64, error = 0, time (sec) =   0.0173, qsort_time =   0.1328
List Size = 1048576, Threads = 256, error = 0, time (sec) =   0.0251, qsort_time =   0.1322
List Size = 1048576, Threads = 1024, error = 0, time (sec) =   0.0703, qsort_time =   0.1330
List Size = 268435456, Threads = 1, error = 0, time (sec) =  36.9733, qsort_time =  46.4623
List Size = 268435456, Threads = 2, error = 0, time (sec) =  19.3120, qsort_time =  46.3775
List Size = 268435456, Threads = 4, error = 0, time (sec) =  10.2813, qsort_time =  46.4079
List Size = 268435456, Threads = 16, error = 0, time (sec) =   4.0530, qsort_time =  46.4620
List Size = 268435456, Threads = 64, error = 0, time (sec) =   3.0168, qsort_time =  46.6359
List Size = 268435456, Threads = 256, error = 0, time (sec) =   2.7934, qsort_time =  46.4531
List Size = 268435456, Threads = 1024, error = 0, time (sec) =   2.8922, qsort_time =  46.3640

List Size = 67108864, Threads = 1, error = 0, time (sec) =   8.7279, qsort_time =  10.9629
List Size = 67108864, Threads = 4, error = 0, time (sec) =   2.5797, qsort_time =  10.9418
List Size = 67108864, Threads = 16, error = 0, time (sec) =   1.1807, qsort_time =  10.9475
List Size = 67108864, Threads = 64, error = 0, time (sec) =   0.9463, qsort_time =  10.9518
List Size = 67108864, Threads = 256, error = 0, time (sec) =   0.9197, qsort_time =  10.9382
List Size = 67108864, Threads = 1024, error = 0, time (sec) =   0.9643, qsort_time =  10.9967
