Matrix size: 4096, BlockX: 32, BlockY: 32, GPU execution time: 456.7951 ms
Matrix size: 4096, BlockX: 64, BlockY: 16, GPU execution time: 388.9009 ms
Matrix size: 4096, BlockX: 16, BlockY: 64, GPU execution time: 439.7373 ms
Matrix size: 4096, BlockX: 128, BlockY: 8, GPU execution time: 377.0235 ms
Matrix size: 4096, BlockX: 8, BlockY: 128, GPU execution time: 430.0892 ms
Matrix size: 4096, BlockX: 256, BlockY: 4, GPU execution time: 370.1053 ms
Matrix size: 4096, BlockX: 4, BlockY: 256, GPU execution time: 511.8095 ms
Matrix size: 4096, BlockX: 32, BlockY: 16, GPU execution time: 418.0859 ms
Matrix size: 4096, BlockX: 16, BlockY: 32, GPU execution time: 462.3329 ms
Matrix size: 4096, BlockX: 64, BlockY: 8, GPU execution time: 391.8438 ms
Matrix size: 4096, BlockX: 8, BlockY: 64, GPU execution time: 454.0887 ms
Matrix size: 4096, BlockX: 128, BlockY: 4, GPU execution time: 379.0694 ms
Matrix size: 4096, BlockX: 4, BlockY: 128, GPU execution time: 526.3821 ms
Matrix size: 4096, BlockX: 16, BlockY: 16, GPU execution time: 463.9478 ms
Matrix size: 4096, BlockX: 32, BlockY: 8, GPU execution time: 413.0089 ms
Matrix size: 4096, BlockX: 8, BlockY: 32, GPU execution time: 480.9779 ms
Matrix size: 4096, BlockX: 64, BlockY: 4, GPU execution time: 385.9067 ms
Matrix size: 4096, BlockX: 4, BlockY: 64, GPU execution time: 557.3468 ms
Matrix size: 4096, BlockX: 16, BlockY: 8, GPU execution time: 458.3506 ms
Matrix size: 4096, BlockX: 8, BlockY: 16, GPU execution time: 489.9594 ms
Matrix size: 4096, BlockX: 32, BlockY: 4, GPU execution time: 408.6825 ms
Matrix size: 4096, BlockX: 4, BlockY: 32, GPU execution time: 585.6246 ms
Matrix size: 8192, BlockX: 32, BlockY: 32, GPU execution time: 2830.5234 ms
Matrix size: 8192, BlockX: 64, BlockY: 16, GPU execution time: 2765.9951 ms
Matrix size: 8192, BlockX: 16, BlockY: 64, GPU execution time: 3035.7197 ms
Matrix size: 8192, BlockX: 128, BlockY: 8, GPU execution time: 2630.6990 ms
Matrix size: 8192, BlockX: 8, BlockY: 128, GPU execution time: 2970.6567 ms
Matrix size: 8192, BlockX: 256, BlockY: 4, GPU execution time: 2578.9297 ms
Matrix size: 8192, BlockX: 4, BlockY: 256, GPU execution time: 3626.3650 ms
Matrix size: 8192, BlockX: 32, BlockY: 16, GPU execution time: 2939.7188 ms
Matrix size: 8192, BlockX: 16, BlockY: 32, GPU execution time: 3160.9897 ms
Matrix size: 8192, BlockX: 64, BlockY: 8, GPU execution time: 2785.4019 ms
Matrix size: 8192, BlockX: 8, BlockY: 64, GPU execution time: 3079.7424 ms
Matrix size: 8192, BlockX: 128, BlockY: 4, GPU execution time: 2696.6763 ms
Matrix size: 8192, BlockX: 4, BlockY: 128, GPU execution time: 3686.5649 ms
Matrix size: 8192, BlockX: 16, BlockY: 16, GPU execution time: 3279.5576 ms
Matrix size: 8192, BlockX: 32, BlockY: 8, GPU execution time: 2955.1238 ms
Matrix size: 8192, BlockX: 8, BlockY: 32, GPU execution time: 3274.6055 ms
Matrix size: 8192, BlockX: 64, BlockY: 4, GPU execution time: 2737.9958 ms
Matrix size: 8192, BlockX: 4, BlockY: 64, GPU execution time: 3871.9836 ms
Matrix size: 8192, BlockX: 16, BlockY: 8, GPU execution time: 3276.3250 ms
Matrix size: 8192, BlockX: 8, BlockY: 16, GPU execution time: 3438.6831 ms
Matrix size: 8192, BlockX: 32, BlockY: 4, GPU execution time: 2904.0383 ms
Matrix size: 8192, BlockX: 4, BlockY: 32, GPU execution time: 4072.5442 ms
Matrix size: 16384, BlockX: 32, BlockY: 32, GPU execution time: 20737.0410 ms
Matrix size: 16384, BlockX: 64, BlockY: 16, GPU execution time: 20445.7988 ms
Matrix size: 16384, BlockX: 16, BlockY: 64, GPU execution time: 22782.2148 ms
Matrix size: 16384, BlockX: 128, BlockY: 8, GPU execution time: 20141.3789 ms
Matrix size: 16384, BlockX: 8, BlockY: 128, GPU execution time: 22136.8281 ms
Matrix size: 16384, BlockX: 256, BlockY: 4, GPU execution time: 19506.6309 ms
Matrix size: 16384, BlockX: 4, BlockY: 256, GPU execution time: 27576.6445 ms
Matrix size: 16384, BlockX: 32, BlockY: 16, GPU execution time: 21467.0547 ms
Matrix size: 16384, BlockX: 16, BlockY: 32, GPU execution time: 23052.2031 ms
Matrix size: 16384, BlockX: 64, BlockY: 8, GPU execution time: 20743.8125 ms
Matrix size: 16384, BlockX: 8, BlockY: 64, GPU execution time: 22915.8926 ms
Matrix size: 16384, BlockX: 128, BlockY: 4, GPU execution time: 20384.8281 ms
Matrix size: 16384, BlockX: 4, BlockY: 128, GPU execution time: 26887.5996 ms
Matrix size: 16384, BlockX: 16, BlockY: 16, GPU execution time: 23657.6797 ms
Matrix size: 16384, BlockX: 32, BlockY: 8, GPU execution time: 21647.4941 ms
Matrix size: 16384, BlockX: 8, BlockY: 32, GPU execution time: 23432.1016 ms
Matrix size: 16384, BlockX: 64, BlockY: 4, GPU execution time: 20632.7598 ms
Matrix size: 16384, BlockX: 4, BlockY: 64, GPU execution time: 27691.1934 ms
Matrix size: 16384, BlockX: 16, BlockY: 8, GPU execution time: 24100.4375 ms
Matrix size: 16384, BlockX: 8, BlockY: 16, GPU execution time: 24404.0801 ms
Matrix size: 16384, BlockX: 32, BlockY: 4, GPU execution time: 21675.1367 ms
Matrix size: 16384, BlockX: 4, BlockY: 32, GPU execution time: 28804.5723 ms
