tick,time_s,blue-0_team,blue-0_profile,blue-1_team,blue-1_profile,blue-2_team,blue-2_profile,orange-0_team,orange-0_profile,orange-1_team,orange-1_profile,orange-2_team,orange-2_profile
8,0.06666666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
16,0.13333333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
24,0.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
32,0.26666666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
40,0.3333333333333333,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
48,0.4,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
56,0.4666666666666667,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
64,0.5333333333333333,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
72,0.6,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
80,0.6666666666666666,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
88,0.7333333333333333,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
96,0.8,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
104,0.8666666666666667,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
112,0.9333333333333333,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
120,1.0,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
128,1.0666666666666667,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
136,1.1333333333333333,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
144,1.2,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
152,1.2666666666666666,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
160,1.3333333333333333,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
168,1.4,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
176,1.4666666666666666,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
184,1.5333333333333334,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
192,1.6,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
200,1.6666666666666667,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
208,1.7333333333333334,0,d1,0,d1,0,d1,1,s2,1,s2,1,s2
216,1.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
224,1.8666666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
232,1.9333333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
240,2.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
248,2.066666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
256,2.1333333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
264,2.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
272,2.2666666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
280,2.3333333333333335,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
288,2.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
296,2.466666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
304,2.533333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
312,2.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
320,2.6666666666666665,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
328,2.7333333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
336,2.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
344,2.8666666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
352,2.933333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
360,3.0,0,s3,0,s3,0,s3,1,d3,1,d3,1,d3
